139,Mason Plumlee,"PF,C",CHA,68,28.1,-0.92,$5,$1.6,$0.5
140,Joe Ingles,"SG,SF",UTA,71,25.1,-0.92,$5,$1.6,$1.4
141,Danny Green,"SG,SF",PHI,74,25.2,-0.95,$5,$1.0,$0.1
142,De'Anthony Melton,"PG,SG",MEM,70,24.8,-0.98,$5,$1.3,$0.1
143,Shake Milton,"PG,SG",PHI,71,26.6,-1.00,$5,$,$0.0
144,Alperen Sengun,C,HOU,70,21.2,-1.01,$5,$2.0,$0.3
145,Andrew Wiggins,"SG,SF",GSW,74,30.1,-1.02,$5,$5.1,$4.8
146,Jalen Suggs,"PG,SG",ORL,73,29.2,-1.04,$5,$3.1,$4.7
147,Kevin Porter Jr.,"SG,SF",HOU,70,31.1,-1.06,$5,$7.8,$3.4
148,Derrick Rose,"PG,SG",NYK,65,22.2,-1.06,$5,$1.6,$0.7
149,Franz Wagner,"SG,SF",ORL,70,30.4,-1.07,$5,$,$0.0
150,Kelly Oubre Jr.,"SG,SF",CHA,74,28.2,-1.12,$5,$1.5,$0.3
151,Jae'Sean Tate,"SF,PF",HOU,76,28.1,-1.12,$5,$1.3,$
152,Luguentz Dort,"SG,SF",OKL,70,29.1,-1.13,$5,$1.3,$0.3
153,Dwight Powell,"PF,C",DAL,68,24.2,-1.13,$5,$,$0.0
154,Markelle Fultz,"PG,SG",ORL,46,27.3,-1.15,$5,$1.0,$0.1
155,Dorian Finney-Smith,"SF,PF",DAL,75,28.1,-1.24,$1,$1.1,$0.0
156,PJ Washington,"PF,C",CHA,70,22.5,-1.27,$1,$5.1,$2.2
157,Jordan Clarkson,"PG,SG",UTA,74,26.7,-1.28,$1,$3.7,$1.9
158,Jalen Brunson,"PG,SG",DAL,72,28.3,-1.29,$1,$1.1,$0.0
159,Alex Caruso,"PG,SG",CHI,70,26.7,-1.33,$1,$2.0,$0.5
160,Josh Hart,"SG,SF",NOP,67,28.7,-1.37,$1,$1.2,$0.0
161,Eric Gordon,"SG,SF",HOU,60,26.9,-1.47,$1,$1.4,$0.0
162,Otto Porter Jr.,"SF,PF",GSW,69,17.1,-1.48,$1,$1.3,$0.2
163,Terance Mann,SF,LAC,76,29.7,-1.48,$1,$2.0,$0.2
164,P.J. Tucker,"PF,C",MIA,77,28.1,-1.54,$1,$1.1,$0.0
165,Cody Martin,"SG,SF",CHA,47,21.4,-1.59,$1,$,$0.0
166,Kyle Anderson,"SF,PF",MEM,75,21.1,-1.60,$1,$2.1,$0.4
167,Duncan Robinson,"SG,SF",MIA,80,30.0,-1.69,$1,$2.5,$0.6
168,Kentavious Caldwell-Pope,"PG,SG",WAS,64,28.4,-1.70,$1,$,$0.0
169,Kevin Huerter,"SG,SF",ATL,71,27.0,-1.70,$1,$1.7,$0.1
170,Ivica Zubac,C,LAC,79,22.9,-1.79,$1,$2.4,$1.6
171,Andre Drummond,C,PHI,74,19.6,-1.81,$1,$3.6,$1.0
172,Cam Reddish,"SG,SF",ATL,71,25.1,-1.84,$1,$1.1,$0.1
173,Obi Toppin,"SF,PF",NYK,73,18.1,-1.89,$1,$1.0,$0.0
174,Chris Boucher,"PF,C",TOR,64,17.1,-1.93,$1,$9.5,$3.5
175,Eric Bledsoe,"PG,SG",LAC,76,27.1,-1.93,$1,$1.3,$1.3
176,Jalen Green,SG,HOU,73,31.8,-1.94,$1,$5.8,$3.8
177,Joe Harris,"SG,SF",BRO,78,31.2,-2.01,$1,$1.6,$1.2
178,Furkan Korkmaz,"SG,SF",PHI,71,22.5,-2.01,$1,$,$0.0
179,Monte Morris,"PG,SG",DEN,70,26.4,-2.02,$1,$1.4,$0.3
180,Collin Sexton,"PG,SG",CLE,11,29.2,-2.06,$1,$10.2,$10.6
181,Juan Toscano-Anderson,"SF,PF",GSW,68,20.1,-2.09,$1,$1.0,$0.0
182,Rui Hachimura,"SF,PF",WAS,70,31.0,-2.10,$1,$1.1,$0.2
183,Bruce Brown,SG,BRO,71,20.8,-2.18,$1,$,$0.0
184,Damion Lee,"SG,SF",GSW,50,20.4,-2.19,$1,$,$0.0
